address,symbol,chain_id,age_hours,pattern_type,current_price,vibe_score,5min_buy_value,5min_sell_value,5min_price_change,1h_buy_value,1h_sell_value,1h_price_change,4h_buy_value,4h_sell_value,4h_price_change,24h_buy_value,24h_sell_value,24h_price_change
xaxviyXwHWZKvbKmz9krmXS5c3QyA9EYPJXemYE83kVu,BOMEEB,501,0.0759,rocket,0.006887,88.0,1382231.25,276446.25,0.3705,280487.11,70121.78,0.2964,140243.55,35060.89,0.6154,350608.88,52591.33,0.1611
4UqEMDYVcxpAbxrDeBZFsZCb1sTAs9wV6EFkF2SiCcr8,BONKFW,501,0.0142,rocket,0.046007,83.82,4287632.5,857526.5,0.2812,1205386.6,301346.65,0.225,602693.3,150673.33,0.3797,1506733.25,226009.99,0.1948
oAXqhtaJFbufq4RDTPxeqzwSTmwwqKFyW4KPxKcjMnXE,SPXEF,501,0.0584,rocket,0.062025,77.81,3093927.93,618785.59,0.4524,1130440.59,282610.15,0.3619,565220.29,141305.07,0.7093,1413050.73,211957.61,0.2822
ACDwj5XCqsUjb5RrC7jtbw9PFdce9TCsWbV4MZXRC15x,DOGESX,501,0.6238,rocket,0.090466,89.18,1672739.86,334547.97,0.3205,390163.64,97540.91,0.2564,195081.82,48770.46,0.4579,487704.56,73155.68,0.4879
UcUkpfxLr5WrE9iSQrU6oQokgoQwQGjScz6kUB1CwZAD,SPXKI,501,0.7536,pump_dump,0.031687,72.45,30018.82,70043.92,-0.0257,80050.2,50031.37,-0.0206,120075.3,30018.82,0.0014,200125.49,40025.1,0.647
bEvQxhr13aoBxk9Ux3GzrXgAc29yrcvyXbvTfDmcUN7S,PEWJP,501,0.2133,pump_dump,0.006346,76.5,356629.89,832136.4,-0.074,951013.03,594383.15,-0.0592,1426519.55,356629.89,-0.1041,2377532.58,475506.52,0.3762
3Rb28UjVRgPn33x8KGfaAKkxyWRqNckKTZABfcwmwwPN,MOGBZ,501,0.2739,pump_dump,0.091203,70.67,223824.31,522256.73,0.0346,596864.83,373040.52,0.0276,895297.25,223824.31,0.1223,1492162.09,298432.42,0.3394
TcqEWPNABUBWFerftUkH7ftMAyS63QETVxEy7LxQecBz,BONKJP,501,1.318,pump_dump,0.053421,71.13,43016.41,100371.61,-0.0008,114710.42,71694.01,-0.0007,172065.62,43016.41,-0.0562,286776.04,57355.21,-0.13
6bJKXWkVESVa35uzdqLDkH94T7YXwPgnQ1Z1C2Yhqtwv,PEPENR,501,2.5358,pump_dump,0.094965,78.49,65527.88,152898.39,0.0268,174741.01,109213.13,0.0214,262111.52,65527.88,0.0391,436852.53,87370.51,0.1262
S17HGriAbhAWn6KF4RVFNxK4qFzmS2FjGDqUFseuifcQ, MEMEKZ,501,2.6742,steady,0.063826,58.82,26851.36,13425.68,0.118,40277.04,20138.52,0.0944,53702.72,26851.36,0.2022,100692.59,40277.04,0.3247
2A3uXukBscUpC4a9FCQUy9ZvfJtxKUU81xwr4tDNsqwh,BOMEWZ,501,1.1243,steady,0.095896,54.31,9826.32,4913.16,0.0427,14739.48,7369.74,0.0342,19652.64,9826.32,-0.0312,36848.7,14739.48,0.1177
mo6Z2GWn3TxoLW63TQgq19sX11mBS7dHA3je5DSmMYRK, MEMEXX,501,12.3064,steady,0.039743,58.12,105182.11,52591.06,0.0313,157773.17,78886.59,0.025,210364.23,105182.11,0.1316,394432.93,157773.17,0.4399
nkSN9jW8a35NNrbRq5eob1eh7FjbzxUC1Kp3JYP73YYN,WOJAKZX,501,4.2427,steady,0.066913,51.83,70778.09,35389.05,0.1189,106167.14,53083.57,0.0952,141556.18,70778.09,0.1745,265417.85,106167.14,0.5409
aztLZAbu1TkuJduMxcu5y3KoXATre6cWPEJpxeCcQsc1, MEMEOR,501,12.5014,steady,0.088288,67.76,57357.64,28678.82,0.0541,86036.45,43018.23,0.0433,114715.27,57357.64,0.0773,215091.13,86036.45,-0.2611
zvviqGfBBN8fLZNyYZybCMU1gK85x92wW4j5zg1TF7nY,ZUZALUQJ,501,8.0799,steady,0.098941,67.55,31677.35,15838.67,0.094,47516.02,23758.01,0.0752,63354.69,31677.35,0.111,118790.05,47516.02,0.4835
QvDgkoyjcQyFRa7iF9MiYiSo3WHzSjo5BgaRBnNYRJJS,PEWWF,501,68.7795,steady,0.082778,59.85,115184.3,57592.15,0.11,172776.45,86388.23,0.088,230368.6,115184.3,0.1624,431941.13,172776.45,-0.243
6jwbBvbSYzgz2cdBZe851Mk548qRJF7kDhSPD8AmxdjL,SPXVG,501,89.7018,dying,0.028902,18.9,6633.15,26532.62,-0.0737,13266.31,33165.77,-0.059,19899.46,39798.93,-0.0709,33165.77,53065.24,0.2808
t5EgLU1bLjaUKQsKSg3eKCpTvUxoVkdzGGhYSLbgkwkZ,POPCATQQ,501,99.6013,dying,0.083965,10.92,28745.25,114981.02,-0.0679,57490.51,143726.27,-0.0544,86235.76,172471.53,-0.0204,143726.27,229962.04,-0.1664
jmSDpyYkqFqeY2anod58s4tpAkWDoXpbVq8fWXVhte2J,BOMEIT,501,488.2791,dying,0.016546,19.78,36959.32,147837.27,-0.071,73918.63,184796.58,-0.0568,110877.95,221755.9,-0.1716,184796.58,295674.53,0.3939
5eFH4nvjVyTknoJjXX6d6yaUPKUeNVYAoPp3SRyFXv1F, MEMEVI,501,255.131,dying,0.019154,32.08,12832.16,51328.63,-0.1048,25664.32,64160.79,-0.0838,38496.47,76992.95,-0.2075,64160.79,102657.26,0.3101
8Eab4gwXo8jTXDu4eywseVtPXkzZhi8APUMNE1rQXqZX,FAKE0,501,0.0759,rocket,0.006887,88.0,557.9039822522817,190.59071899958383,0.3705,280487.11,70121.78,0.2964,140243.55,35060.89,0.6154,5579.039822522817,1905.9071899958383,0.1611
YZgxaR2ADotL1uz3TPHr958L3AtyhTm1vwaa4kV6PnY1,FAKE1,501,0.0142,rocket,0.046007,83.82,577.9903544155289,182.47203723708162,0.2812,1205386.6,301346.65,0.225,602693.3,150673.33,0.3797,5779.90354415529,1824.7203723708162,0.1948
yTqgCUcCn85tN5KrhfRkkWYS1DWWWqnimMcXxt9tv2tt,FAKE2,501,0.0584,rocket,0.062025,77.81,469.50571558196634,155.87364721770672,0.4524,1130440.59,282610.15,0.3619,565220.29,141305.07,0.7093,4695.057155819663,1558.736472177067,0.2822
