vibe_score,composite_nis,age_decay,total_volume,final_score,passed_filter,address,symbol,age_hours,current_price,nis_5min,nis_1h,nis_4h,nis_24h,rank
88.0,8.5201,1.5,403200.21,144.7802,True,xaxviyXwHWZKvbKmz9krmXS5c3QyA9EYPJXemYE83kVu,BOMEEB,0.08,0.006887,9.5477,7.6605,7.2446,9.5401,1
83.82,9.3672,1.5,1732743.24,139.7808,True,4UqEMDYVcxpAbxrDeBZFsZCb1sTAs9wV6EFkF2SiCcr8,BONKFW,0.01,0.046007,10.3024,8.5353,8.1194,10.6178,2
77.81,9.2562,1.5,1625008.34,130.5993,True,oAXqhtaJFbufq4RDTPxeqzwSTmwwqKFyW4KPxKcjMnXE,SPXEF,0.06,0.062025,10.0848,8.4968,8.0809,10.5703,3
89.18,8.6944,1.3,560860.24,127.2367,True,ACDwj5XCqsUjb5RrC7jtbw9PFdce9TCsWbV4MZXRC15x,DOGESX,0.62,0.090466,9.6749,7.8585,7.4426,9.784,4
76.5,1.4666,1.3,2853039.1,101.3566,True,bEvQxhr13aoBxk9Ux3GzrXgAc29yrcvyXbvTfDmcUN7S,PEWJP,0.21,0.006346,-5.5954,3.2886,8.6363,9.9093,5
72.45,1.2293,1.3,240150.59,95.7831,True,UcUkpfxLr5WrE9iSQrU6oQokgoQwQGjScz6kUB1CwZAD,SPXKI,0.75,0.031687,-4.6054,2.7175,7.1514,8.2594,6
70.67,1.422,1.3,1790594.51,93.7196,True,3Rb28UjVRgPn33x8KGfaAKkxyWRqNckKTZABfcwmwwPN,MOGBZ,0.27,0.091203,-5.409,3.1811,8.3568,9.5987,7
78.49,1.3042,1.0,524223.04,79.7942,True,6bJKXWkVESVa35uzdqLDkH94T7YXwPgnQ1Z1C2Yhqtwv,PEPENR,2.54,0.094965,-4.9177,2.8977,7.6198,8.7798,8
71.13,1.2638,1.0,344131.25,72.3938,True,TcqEWPNABUBWFerftUkH7ftMAyS63QETVxEy7LxQecBz,BONKJP,1.32,0.053421,-4.7493,2.8005,7.3673,8.4992,9
58.82,3.776,1.0,140969.63,62.596,True,S17HGriAbhAWn6KF4RVFNxK4qFzmS2FjGDqUFseuifcQ, MEMEKZ,2.67,0.063826,3.5345,3.6697,3.7656,5.0813,10
54.31,3.4313,1.0,51588.18,57.7413,True,2A3uXukBscUpC4a9FCQUy9ZvfJtxKUU81xwr4tDNsqwh,BOMEWZ,1.12,0.095896,3.1995,3.3346,3.4305,4.6505,11
67.76,4.0362,0.7,301127.58,50.2573,True,aztLZAbu1TkuJduMxcu5y3KoXATre6cWPEJpxeCcQsc1, MEMEOR,12.5,0.088288,3.7875,3.9227,4.0186,5.4066,12
67.55,3.8326,0.7,166306.07,49.9678,True,zvviqGfBBN8fLZNyYZybCMU1gK85x92wW4j5zg1TF7nY,ZUZALUQJ,8.08,0.098941,3.5896,3.7248,3.8207,5.1521,13
58.12,4.2441,0.7,552206.1,43.6549,True,mo6Z2GWn3TxoLW63TQgq19sX11mBS7dHA3je5DSmMYRK, MEMEXX,12.31,0.039743,3.9896,4.1248,4.2207,5.6664,14
51.83,4.1083,0.7,371584.99,39.1568,True,nkSN9jW8a35NNrbRq5eob1eh7FjbzxUC1Kp3JYP73YYN,WOJAKZX,4.24,0.066913,3.8576,3.9927,4.0886,5.4967,15
59.85,4.2752,0.5,604717.58,32.0626,True,QvDgkoyjcQyFRa7iF9MiYiSo3WHzSjo5BgaRBnNYRJJS,PEWWF,68.78,0.082778,4.0199,4.1551,4.251,5.7054,16
32.08,-5.1777,0.3,166818.05,8.0707,True,5eFH4nvjVyTknoJjXX6d6yaUPKUeNVYAoPp3SRyFXv1F, MEMEVI,255.13,0.019154,-6.6415,-4.8881,-3.8856,-2.7749,17
18.9,-4.8752,0.5,86231.01,7.0124,True,6jwbBvbSYzgz2cdBZe851Mk548qRJF7kDhSPD8AmxdjL,SPXVG,89.7,0.028902,-6.2456,-4.6053,-3.6657,-2.6226,18
19.78,-5.6625,0.3,480471.11,4.2353,True,jmSDpyYkqFqeY2anod58s4tpAkWDoXpbVq8fWXVhte2J,BOMEIT,488.28,0.016546,-7.2762,-5.3415,-4.2383,-3.019,19
10.92,-5.5473,0.5,373688.31,2.6864,True,t5EgLU1bLjaUKQsKSg3eKCpTvUxoVkdzGGhYSLbgkwkZ,POPCATQQ,99.6,0.083965,-7.1254,-5.2338,-4.1545,-2.961,20
